WC_ratio,TEMP,EC,VWC,TDS,SALINITY,EPSILON
0.425,18.44,4261,68.33,2130,2343,63.4
0.425,18.63,4273,68.56,2136,2350,63.6
0.425,18.74,4292,69.01,2146,2360,63.99
0.425,18.79,4301,69.01,2150,2365,63.99
0.425,18.87,4306,69.24,2153,2368,64.19
0.425,18.9,4316,69.7,2158,2373,64.58
0.425,18.98,4321,69.7,2160,2376,64.58
0.425,18.98,4321,69.7,2160,2376,64.58
0.425,19.01,4323,70.18,2161,2377,64.98
0.425,19.01,4332,70.69,2166,2382,65.39
0.425,19.06,4341,70.69,2170,2387,65.39
0.425,19.09,4354,70.69,2177,2394,65.39
0.425,19.09,4369,70.69,2184,2402,65.39
0.425,19.09,4378,70.69,2189,2407,65.39
0.425,19.09,4383,70.94,2191,2410,65.59
0.425,19.09,4394,71.19,2197,2416,65.79
0.425,19.09,4411,71.45,2205,2426,65.99
0.425,19.09,4428,71.45,2214,2435,65.99
0.425,19.09,4445,71.45,2222,2444,65.99
0.425,19.09,4456,71.45,2228,2450,65.99
0.425,19.09,4462,71.72,2231,2454,66.2
0.425,19.09,4467,71.97,2233,2456,66.4
0.425,19.09,4473,72.25,2236,2460,66.61
0.425,19.09,4473,72.25,2236,2460,66.61
0.425,19.09,4479,72.25,2239,2463,66.61
0.425,19.09,4479,72.25,2239,2463,66.61
0.425,19.09,4485,72.53,2242,2466,66.82
0.425,19.09,4491,72.53,2245,2470,66.82
0.425,19.09,4496,73.08,2248,2472,67.23
0.425,19.09,4502,73.08,2251,2476,67.23
0.425,19.09,4502,73.08,2251,2476,67.23
0.425,19.09,4502,73.36,2251,2476,67.44
0.425,19.09,4502,73.36,2251,2476,67.44
0.425,19.09,4514,73.65,2257,2482,67.65
0.425,19.09,4526,73.94,2263,2489,67.86
0.425,19.09,4538,73.94,2269,2495,67.86
0.425,19.09,4544,74.24,2272,2499,68.07
0.425,19.09,4544,74.24,2272,2499,68.07
0.425,19.12,4549,74.24,2274,2501,68.07
0.425,19.09,4554,74.24,2277,2504,68.07
0.425,19.09,4560,74.24,2280,2508,68.07
0.425,19.09,4566,74.24,2283,2511,68.07
0.425,19.09,4567,74.24,2283,2511,68.07
0.425,19.09,4567,74.24,2283,2511,68.07
0.425,19.09,4567,74.54,2283,2511,68.28
0.425,19.09,4567,74.84,2283,2511,68.49
0.425,19.09,4573,74.84,2286,2515,68.49
0.425,19.12,4578,75.14,2289,2517,68.7
0.425,19.09,4584,75.14,2292,2521,68.7
0.425,19.09,4584,75.14,2292,2521,68.7
0.425,19.09,4590,75.14,2295,2524,68.7
0.425,19.09,4585,75.14,2292,2521,68.7
0.425,19.09,4591,75.14,2295,2525,68.7
0.425,19.12,4602,75.14,2301,2531,68.7
0.425,19.09,4602,75.14,2301,2531,68.7
0.425,19.09,4614,75.14,2307,2537,68.7
0.425,19.09,4614,75.14,2307,2537,68.7
