WC_ratio,TEMP,EC,VWC,TDS,SALINITY,EPSILON
0.45,18.17,4409,69.01,2204,2424,63.99
0.45,18.3,4417,69.7,2208,2429,64.58
0.45,18.38,4428,69.7,2214,2435,64.58
0.45,18.47,4437,69.7,2218,2440,64.58
0.45,18.52,4450,69.94,2225,2447,64.78
0.45,18.55,4455,70.43,2227,2450,65.18
0.45,18.58,4467,70.69,2233,2456,65.39
0.45,18.6,4476,70.69,2238,2461,65.39
0.45,18.66,4489,70.69,2244,2468,65.39
0.45,18.66,4492,70.69,2246,2470,65.39
0.45,18.66,4490,70.94,2245,2469,65.59
0.45,18.66,4500,71.19,2250,2475,65.79
0.45,18.66,4500,71.45,2250,2475,65.99
0.45,18.68,4510,71.45,2255,2480,65.99
0.45,18.66,4516,71.45,2258,2483,65.99
0.45,18.66,4522,71.45,2261,2487,65.99
0.45,18.66,4528,71.45,2264,2490,65.99
0.45,18.68,4534,71.45,2267,2493,65.99
0.45,18.68,4540,71.97,2270,2497,66.4
0.45,18.68,4539,71.97,2269,2496,66.4
0.45,18.68,4539,71.97,2269,2496,66.4
0.45,18.68,4544,71.97,2272,2499,66.4
0.45,18.68,4556,72.25,2278,2505,66.61
0.45,18.71,4567,72.25,2283,2511,66.61
0.45,18.68,4585,72.25,2292,2521,66.61
0.45,18.68,4591,72.25,2295,2525,66.61
0.45,18.71,4590,72.25,2295,2524,66.61
0.45,18.68,4597,72.53,2298,2528,66.82
0.45,18.71,4596,72.53,2298,2527,66.82
0.45,18.68,4602,72.79,2301,2531,67.02
0.45,18.68,4609,73.08,2304,2534,67.23
0.45,18.68,4609,73.08,2304,2534,67.23
0.45,18.71,4609,73.08,2304,2534,67.23
0.45,18.71,4608,73.08,2304,2534,67.23
0.45,18.68,4614,73.08,2307,2537,67.23
0.45,18.71,4613,73.08,2306,2537,67.23
0.45,18.68,4658,71.97,2329,2561,66.4
0.45,18.66,4665,71.97,2332,2565,66.4
0.45,18.66,4678,71.97,2339,2572,66.4
0.45,18.66,4691,71.97,2345,2580,66.4
0.45,18.66,4704,71.97,2352,2587,66.4
0.45,18.66,4711,72.25,2355,2591,66.61
0.45,18.66,4711,72.25,2355,2591,66.61
0.45,18.66,4711,72.25,2355,2591,66.61
0.45,18.66,4711,72.25,2355,2591,66.61
0.45,18.66,4711,72.25,2355,2591,66.61
0.45,18.66,4711,72.25,2355,2591,66.61
0.45,18.68,4710,72.25,2355,2590,66.61
0.45,18.68,4710,72.25,2355,2590,66.61
0.45,18.66,4710,72.25,2355,2590,66.61
0.45,18.68,4709,72.25,2354,2589,66.61
0.45,18.66,4710,72.25,2355,2590,66.61
0.45,18.68,4710,72.53,2355,2590,66.82
