WC_ratio,TEMP,EC,VWC,TDS,SALINITY,EPSILON
0.525,18.93,4963,74.84,2481,2729,68.49
0.525,18.11,4966,75.14,2483,2731,68.7
0.525,18.38,4990,75.14,2495,2744,68.7
0.525,17.89,5023,75.14,2511,2762,68.7
0.525,18,5028,75.14,2514,2765,68.7
0.525,18.44,5054,77.75,2527,2779,70.43
0.525,18.11,5063,77.75,2531,2784,70.43
0.525,17.84,5067,75.14,2533,2786,68.7
0.525,17.67,5072,75.14,2536,2789,68.7
0.525,17.62,5073,75.14,2536,2790,68.7
0.525,17.48,5084,75.14,2542,2796,68.7
0.525,17.67,5084,75.14,2542,2796,68.7
0.525,17.87,5087,78.1,2543,2797,70.65
0.525,17.37,5096,74.24,2548,2802,68.07
0.525,17.23,5100,74.24,2550,2805,68.07
0.525,17.56,5106,75.46,2553,2808,68.92
0.525,17.34,5106,75.14,2553,2808,68.7
0.525,17.12,5108,74.24,2554,2809,68.07
0.525,17.67,5110,78.1,2555,2810,70.65
0.525,17.04,5125,74.24,2562,2818,68.07
0.525,17.45,5133,75.46,2566,2823,68.92
0.525,17.45,5134,75.14,2567,2823,68.7
0.525,17.56,5136,78.1,2568,2824,70.65
0.525,17.29,5137,75.14,2568,2825,68.7
0.525,17.01,5142,74.24,2571,2828,68.07
0.525,17.23,5149,75.14,2574,2831,68.7
0.525,16.92,5152,74.24,2576,2833,68.07
0.525,17.37,5156,75.77,2578,2835,69.13
0.525,17.42,5156,78.1,2578,2835,70.65
0.525,17.34,5165,78.45,2582,2840,70.87
0.525,16.9,5165,74.24,2582,2840,68.07
0.525,17.34,5166,75.77,2583,2841,69.13
0.525,16.9,5170,74.24,2585,2843,68.07
0.525,17.34,5172,75.14,2586,2844,68.7
0.525,17.15,5173,75.14,2586,2845,68.7
0.525,17.29,5177,78.45,2588,2847,70.87
0.525,16.9,5180,74.24,2590,2849,68.07
0.525,17.29,5182,75.77,2591,2850,69.13
0.525,17.12,5187,75.14,2593,2852,68.7
0.525,17.23,5187,78.45,2593,2852,70.87
0.525,17.23,5188,75.77,2594,2853,69.13
0.525,17.23,5193,75.77,2596,2856,69.13
0.525,17.09,5194,75.14,2597,2856,68.7
0.525,17.17,5195,78.45,2597,2857,70.87
0.525,16.87,5196,74.24,2598,2857,68.07
0.525,17.17,5198,75.77,2599,2858,69.13
0.525,17.15,5200,78.45,2600,2860,70.87
0.525,17.17,5202,76.1,2601,2861,69.35
0.525,17.15,5204,76.1,2602,2862,69.35
0.525,16.84,5205,74.24,2602,2862,68.07
0.525,17.06,5206,75.46,2603,2863,68.92
0.525,17.12,5206,78.45,2603,2863,70.87
0.525,17.15,5207,75.77,2603,2863,69.13
0.525,17.12,5208,75.77,2604,2864,69.13
0.525,17.12,5209,78.45,2604,2864,70.87
0.525,17.12,5210,75.77,2605,2865,69.13
0.525,17.04,5210,75.46,2605,2865,68.92
0.525,17.01,5210,75.77,2605,2865,69.13
0.525,17.01,5210,75.77,2605,2865,69.13
0.525,17.12,5211,76.1,2605,2866,69.35
0.525,17.01,5211,77.09,2605,2866,70
0.525,17.12,5212,76.1,2606,2866,69.35
0.525,17.12,5212,76.1,2606,2866,69.35
0.525,17.12,5212,76.1,2606,2866,69.35
0.525,17.12,5212,76.1,2606,2866,69.35
0.525,17.12,5212,76.1,2606,2866,69.35
0.525,17.12,5212,76.1,2606,2866,69.35
0.525,17.12,5212,76.1,2606,2866,69.35
0.525,17.12,5212,76.1,2606,2866,69.35
0.525,17.12,5212,76.1,2606,2866,69.35
0.525,17.12,5212,76.1,2606,2866,69.35
0.525,17.12,5212,76.1,2606,2866,69.35
0.525,17.12,5212,77.09,2606,2866,70
0.525,17.17,5212,75.14,2606,2866,68.7
0.525,17.01,5213,75.77,2606,2867,69.13
0.525,17.04,5215,75.77,2607,2868,69.13
0.525,17.01,5216,75.77,2608,2868,69.13
0.525,17.06,5220,78.45,2610,2871,70.87
0.525,16.84,5221,74.24,2610,2871,68.07
0.525,17.09,5223,75.14,2611,2872,68.7
0.525,16.81,5224,74.24,2612,2873,68.07
0.525,17.01,5226,77.09,2613,2874,70
0.525,16.98,5226,77.09,2613,2874,70
0.525,17.01,5226,77.09,2613,2874,70
0.525,16.81,5226,74.54,2613,2874,68.28
0.525,17.01,5227,77.09,2613,2874,70
0.525,16.81,5227,74.24,2613,2874,68.07
0.525,16.81,5228,74.54,2614,2875,68.28
0.525,16.78,5229,74.24,2614,2875,68.07
0.525,17.04,5230,78.45,2615,2876,70.87
0.525,17.01,5233,77.09,2616,2878,70
0.525,16.98,5234,77.09,2617,2878,70
0.525,16.98,5235,77.09,2617,2879,70
0.525,17.01,5235,77.09,2617,2879,70
0.525,16.98,5236,77.09,2618,2879,70
0.525,17.01,5236,75.14,2618,2879,68.7
0.525,16.92,5237,76.1,2618,2880,69.35
0.525,16.9,5237,76.1,2618,2880,69.35
0.525,16.92,5237,77.09,2618,2880,70
0.525,16.78,5237,74.24,2618,2880,68.07
0.525,16.9,5238,76.1,2619,2880,69.35
0.525,16.9,5238,76.1,2619,2880,69.35
0.525,16.92,5238,76.41,2619,2880,69.56
0.525,16.9,5238,76.41,2619,2880,69.56
0.525,16.9,5238,76.75,2619,2880,69.78
0.525,16.9,5238,76.75,2619,2880,69.78
0.525,16.92,5238,77.09,2619,2880,70
0.525,16.92,5238,77.09,2619,2880,70
0.525,16.9,5238,76.75,2619,2880,69.78
0.525,16.9,5238,77.09,2619,2880,70
0.525,16.9,5238,77.09,2619,2880,70
0.525,16.9,5238,77.09,2619,2880,70
0.525,16.92,5238,77.09,2619,2880,70
0.525,16.92,5238,77.09,2619,2880,70
0.525,16.9,5238,77.09,2619,2880,70
0.525,16.9,5238,76.75,2619,2880,69.78
0.525,16.92,5238,76.41,2619,2880,69.56
0.525,16.92,5238,74.84,2619,2880,68.49
0.525,16.9,5238,74.84,2619,2880,68.49
0.525,16.9,5238,75.14,2619,2880,68.7
0.525,16.9,5238,75.14,2619,2880,68.7
0.525,16.92,5238,75.14,2619,2880,68.7
0.525,16.9,5238,75.14,2619,2880,68.7
0.525,16.92,5238,75.14,2619,2880,68.7
0.525,16.9,5238,75.14,2619,2880,68.7
0.525,16.9,5239,76.1,2619,2881,69.35
0.525,16.9,5239,76.1,2619,2881,69.35
0.525,16.9,5239,76.1,2619,2881,69.35
0.525,16.9,5239,76.41,2619,2881,69.56
0.525,16.9,5239,76.41,2619,2881,69.56
0.525,16.9,5239,76.41,2619,2881,69.56
0.525,16.9,5239,76.75,2619,2881,69.78
0.525,16.9,5239,76.41,2619,2881,69.56
0.525,16.9,5239,76.75,2619,2881,69.78
0.525,16.9,5239,77.09,2619,2881,70
0.525,16.9,5239,76.75,2619,2881,69.78
0.525,16.9,5239,76.75,2619,2881,69.78
0.525,16.9,5239,76.75,2619,2881,69.78
0.525,16.9,5239,76.75,2619,2881,69.78
0.525,16.9,5239,76.75,2619,2881,69.78
0.525,16.9,5239,76.75,2619,2881,69.78
0.525,16.9,5239,76.75,2619,2881,69.78
0.525,16.9,5239,74.24,2619,2881,68.07
0.525,16.9,5239,74.24,2619,2881,68.07
0.525,16.9,5239,74.24,2619,2881,68.07
0.525,16.9,5239,74.54,2619,2881,68.28
0.525,16.9,5239,74.84,2619,2881,68.49
0.525,16.9,5239,74.84,2619,2881,68.49
0.525,16.9,5239,74.84,2619,2881,68.49
0.525,16.9,5239,75.14,2619,2881,68.7
0.525,16.9,5239,75.14,2619,2881,68.7
0.525,17.01,5240,77.09,2620,2882,70
0.525,17.01,5240,77.09,2620,2882,70
0.525,17.01,5240,77.09,2620,2882,70
0.525,17.01,5240,77.09,2620,2882,70
0.525,17.01,5240,77.09,2620,2882,70
0.525,16.92,5245,76.75,2622,2884,69.78
0.525,16.9,5245,76.75,2622,2884,69.78
0.525,16.92,5245,76.75,2622,2884,69.78
0.525,16.92,5245,75.14,2622,2884,68.7
0.525,16.9,5245,75.14,2622,2884,68.7
0.525,16.78,5245,74.84,2622,2884,68.49
0.525,16.9,5246,76.75,2623,2885,69.78
0.525,16.78,5246,74.54,2623,2885,68.28
0.525,17.01,5247,77.09,2623,2885,70
0.525,17.01,5247,77.09,2623,2885,70
0.525,17.01,5247,77.41,2623,2885,70.21
0.525,16.98,5248,75.14,2624,2886,68.7
0.525,16.92,5248,75.14,2624,2886,68.7
0.525,16.9,5252,76.41,2626,2888,69.56
