WC_ratio,TEMP,EC,VWC,TDS,SALINITY,EPSILON
0.55,17.09,5215,77.09,2607,2868,70
0.55,16.98,5234,77.09,2617,2878,70
0.55,16.9,5256,77.09,2628,2890,70
0.55,16.84,5269,77.09,2634,2897,70
0.55,16.78,5286,77.09,2643,2907,70
0.55,16.76,5300,77.09,2650,2915,70
0.55,16.7,5307,77.09,2653,2918,70
0.55,16.67,5319,77.09,2659,2925,70
0.55,16.67,5330,77.09,2665,2931,70
0.55,16.67,5341,77.09,2670,2937,70
0.55,16.67,5349,77.09,2674,2941,70
0.55,16.67,5364,77.09,2682,2950,70
0.55,16.64,5381,77.09,2690,2959,70
0.55,16.64,5397,77.09,2698,2968,70
0.55,16.64,5413,77.09,2706,2977,70
0.55,16.62,5430,77.09,2715,2986,70
0.55,16.59,5440,77.09,2720,2992,70
0.55,16.62,5440,77.09,2720,2992,70
0.55,16.59,5450,77.09,2725,2997,70
0.55,16.59,5443,77.09,2721,2993,70
0.55,16.59,5443,77.09,2721,2993,70
0.55,16.59,5452,77.09,2726,2998,70
0.55,16.59,5452,77.09,2726,2998,70
0.55,16.59,5460,77.09,2730,3003,70
0.55,16.56,5461,77.09,2730,3003,70
0.55,16.59,5461,77.09,2730,3003,70
0.55,16.56,5462,77.09,2731,3004,70
0.55,16.56,5463,77.09,2731,3004,70
0.55,16.56,5470,77.09,2735,3008,70
0.55,16.56,5479,77.09,2739,3013,70
0.55,16.56,5487,77.41,2743,3017,70.21
0.55,16.56,5495,77.09,2747,3022,70
0.55,16.56,5487,77.41,2743,3017,70.21
0.55,16.56,5487,77.41,2743,3017,70.21
0.55,16.56,5487,77.41,2743,3017,70.21
0.55,16.56,5487,77.75,2743,3017,70.43
0.55,16.56,5495,78.1,2747,3022,70.65
0.55,16.56,5502,77.75,2751,3026,70.43
0.55,16.56,5502,78.1,2751,3026,70.65
0.55,16.56,5502,78.1,2751,3026,70.65
0.55,16.56,5510,77.75,2755,3030,70.43
0.55,16.56,5495,78.1,2747,3022,70.65
0.55,16.56,5502,77.75,2751,3026,70.43
0.55,16.56,5502,78.45,2751,3026,70.87
0.55,16.56,5495,78.45,2747,3022,70.87
0.55,16.56,5502,78.45,2751,3026,70.87
0.55,16.56,5502,78.45,2751,3026,70.87
0.55,16.56,5502,78.45,2751,3026,70.87
0.55,16.56,5510,78.45,2755,3030,70.87
0.55,16.56,5518,78.45,2759,3034,70.87
0.55,16.56,5518,78.45,2759,3034,70.87
0.55,16.56,5526,78.45,2763,3039,70.87
0.55,16.56,5526,78.45,2763,3039,70.87
0.55,16.56,5526,78.45,2763,3039,70.87
0.55,16.56,5526,78.45,2763,3039,70.87
0.55,16.56,5526,78.45,2763,3039,70.87
0.55,16.56,5526,78.45,2763,3039,70.87
0.55,16.56,5526,78.45,2763,3039,70.87
0.55,16.56,5526,78.45,2763,3039,70.87
0.55,16.56,5526,78.45,2763,3039,70.87
0.55,16.56,5526,78.45,2763,3039,70.87
0.55,16.56,5526,78.45,2763,3039,70.87
0.55,16.53,5527,78.45,2763,3039,70.87
0.55,16.56,5519,78.45,2759,3035,70.87
0.55,16.53,5520,78.45,2760,3036,70.87
0.55,16.53,5521,78.45,2760,3036,70.87
0.55,16.53,5521,78.45,2760,3036,70.87
0.55,16.53,5530,78.45,2765,3041,70.87
0.55,16.53,5530,80.67,2765,3041,72.21
0.55,16.34,5310,75.14,2655,2920,68.7
0.55,16.34,5310,76.1,2655,2920,69.35
0.55,16.34,5317,76.1,2658,2924,69.35
0.55,16.34,5324,76.1,2662,2928,69.35
0.55,16.34,5339,76.1,2669,2936,69.35
0.55,16.34,5362,76.1,2681,2949,69.35
0.55,16.36,5369,76.1,2684,2952,69.35
0.55,16.36,5383,76.1,2691,2960,69.35
0.55,16.39,5389,76.1,2694,2963,69.35
0.55,16.36,5388,76.1,2694,2963,69.35
0.55,16.39,5403,76.1,2701,2971,69.35
0.55,16.39,5410,76.1,2705,2975,69.35
0.55,16.39,5410,76.1,2705,2975,69.35
0.55,16.42,5423,76.41,2711,2982,69.56
0.55,16.45,5421,76.41,2710,2981,69.56
0.55,16.42,5412,76.41,2706,2976,69.56
0.55,16.45,5426,76.75,2713,2984,69.78
0.55,16.45,5425,76.75,2712,2983,69.78
