WC_ratio,TEMP,EC,VWC,TDS,SALINITY,EPSILON
0.575,20.03,5304,89.48,2652,2917,76.87
0.575,19.63,5330,89.48,2665,2931,76.87
0.575,19.33,5365,89.48,2682,2950,76.87
0.575,19.12,5406,89.48,2703,2973,76.87
0.575,18.98,5438,89.48,2719,2990,76.87
0.575,18.87,5461,90.51,2730,3003,77.36
0.575,18.77,5479,90,2739,3013,77.12
0.575,18.68,5493,90.51,2746,3021,77.36
0.575,18.66,5503,90.51,2751,3026,77.36
0.575,18.6,5511,84.77,2755,3031,74.5
0.575,18.55,5518,85.23,2759,3034,74.74
0.575,18.55,5522,86.13,2761,3037,75.21
0.575,18.55,5526,91.02,2763,3039,77.6
0.575,18.49,5529,91.02,2764,3040,77.6
0.575,18.47,5532,91.02,2766,3042,77.6
0.575,18.47,5534,91.02,2767,3043,77.6
0.575,18.47,5537,91.02,2768,3045,77.6
0.575,18.44,5539,91.02,2769,3046,77.6
0.575,17.56,5656,84.77,2828,3110,74.5
0.575,17.67,5652,85.23,2826,3108,74.74
0.575,17.84,5651,85.23,2825,3108,74.74
0.575,17.92,5640,85.23,2820,3102,74.74
0.575,18,5634,85.67,2817,3098,74.97
0.575,18.11,5619,86.13,2809,3090,75.21
0.575,18.14,5601,86.13,2800,3080,75.21
0.575,18.19,5600,86.13,2800,3080,75.21
0.575,18.22,5593,86.13,2796,3076,75.21
0.575,18.22,5598,86.13,2799,3078,75.21
0.575,18.25,5603,86.13,2801,3081,75.21
0.575,18.28,5600,86.13,2800,3080,75.21
0.575,18.28,5598,86.13,2799,3078,75.21
0.575,18.3,5596,86.13,2798,3077,75.21
0.575,18.3,5628,88,2814,3095,76.15
0.575,18.3,5653,88,2826,3109,76.15
0.575,18.33,5677,88,2838,3122,76.15
0.575,18.33,5676,86.13,2838,3121,75.21
0.575,18.33,5650,86.13,2825,3107,75.21
0.575,18.33,5640,87.06,2820,3102,75.68
0.575,18.33,5640,86.58,2820,3102,75.44
0.575,18.33,5666,86.58,2833,3116,75.44
0.575,18.33,5683,86.58,2841,3125,75.44
0.575,18.33,5692,86.58,2846,3130,75.44
0.575,18.33,5683,86.58,2841,3125,75.44
0.575,18.33,5666,86.58,2833,3116,75.44
0.575,18.33,5657,87.06,2828,3111,75.68
0.575,18.33,5648,87.06,2824,3106,75.68
0.575,18.33,5648,86.58,2824,3106,75.44
0.575,18.33,5657,87.06,2828,3111,75.68
0.575,18.33,5665,88,2832,3115,76.15
0.575,18.33,5683,89.48,2841,3125,76.87
0.575,18.33,5700,89.48,2850,3135,76.87
0.575,18.33,5709,89.48,2854,3139,76.87
0.575,18.33,5717,89.48,2858,3144,76.87
0.575,18.33,5717,89.48,2858,3144,76.87
0.575,18.33,5726,89.48,2863,3149,76.87
0.575,18.33,5735,89.48,2867,3154,76.87
0.575,18.33,5744,89.48,2872,3159,76.87
0.575,18.33,5753,89.48,2876,3164,76.87
0.575,18.33,5753,89.48,2876,3164,76.87
0.575,18.36,5761,89.48,2880,3168,76.87
0.575,18.33,5761,89.48,2880,3168,76.87
0.575,18.33,5752,89.48,2876,3163,76.87
0.575,18.33,5743,89.48,2871,3158,76.87
0.575,18.33,5735,89.48,2867,3154,76.87
