WC_ratio,TEMP,EC,VWC,TDS,SALINITY,EPSILON
0.425,20.21,4210,68.11,2105,2315,63.21
0.425,20.29,4213,68.33,2106,2317,63.4
0.425,20.4,4230,68.77,2115,2326,63.79
0.425,20.45,4246,69.01,2123,2335,63.99
0.425,20.48,4272,69.01,2136,2349,63.99
0.425,20.53,4294,69.01,2147,2361,63.99
0.425,20.58,4306,69.24,2153,2368,64.19
0.425,20.58,4314,69.7,2157,2372,64.58
0.425,20.58,4317,69.7,2158,2374,64.58
0.425,20.58,4321,69.7,2160,2376,64.58
0.425,20.58,4321,69.7,2160,2376,64.58
0.425,20.61,4326,69.7,2163,2379,64.58
0.425,20.61,4331,69.7,2165,2382,64.58
0.425,20.63,4341,69.94,2170,2387,64.78
0.425,20.63,4345,70.18,2172,2389,64.98
0.425,20.63,4356,70.43,2178,2395,65.18
0.425,20.63,4373,70.69,2186,2405,65.39
0.425,20.63,4378,70.69,2189,2407,65.39
0.425,20.66,4395,70.69,2197,2417,65.39
0.425,20.63,4406,70.69,2203,2423,65.39
0.425,20.66,4405,70.94,2202,2422,65.59
0.425,20.66,4416,70.94,2208,2428,65.59
0.425,20.66,4422,71.45,2211,2432,65.99
0.425,20.66,4427,71.45,2213,2434,65.99
0.425,20.66,4438,71.45,2219,2440,65.99
0.425,20.66,4450,71.45,2225,2447,65.99
0.425,20.66,4462,71.45,2231,2454,65.99
0.425,20.66,4468,71.45,2234,2457,65.99
0.425,20.66,4474,71.45,2237,2460,65.99
0.425,20.69,4473,71.45,2236,2460,65.99
0.425,20.66,4473,71.72,2236,2460,66.2
0.425,20.66,4479,71.72,2239,2463,66.2
0.425,20.66,4479,71.72,2239,2463,66.2
0.425,20.66,4480,71.97,2240,2464,66.4
0.425,20.66,4480,71.97,2240,2464,66.4
0.425,20.69,4485,71.97,2242,2466,66.4
0.425,20.66,4491,71.97,2245,2470,66.4
0.425,20.66,4498,72.25,2249,2473,66.61
0.425,20.66,4504,72.25,2252,2477,66.61
0.425,20.66,4505,72.25,2252,2477,66.61
0.425,20.66,4505,72.25,2252,2477,66.61
0.425,20.66,4505,72.25,2252,2477,66.61
0.425,20.66,4505,72.25,2252,2477,66.61
0.425,20.69,4504,72.25,2252,2477,66.61
0.425,20.66,4504,72.25,2252,2477,66.61
0.425,20.66,4504,72.25,2252,2477,66.61
0.425,20.66,4504,72.25,2252,2477,66.61
0.425,20.66,4505,72.25,2252,2477,66.61
0.425,20.66,4511,72.53,2255,2481,66.82
0.425,20.66,4511,72.79,2255,2481,67.02
0.425,20.66,4517,72.79,2258,2484,67.02
0.425,20.66,4523,73.08,2261,2487,67.23
0.425,20.66,4523,73.08,2261,2487,67.23
0.425,20.66,4529,73.08,2264,2490,67.23
0.425,20.66,4529,73.08,2264,2490,67.23
0.425,20.69,4528,73.08,2264,2490,67.23
0.425,20.66,4528,73.08,2264,2490,67.23
0.425,20.66,4528,73.08,2264,2490,67.23
0.425,20.66,4534,73.08,2267,2493,67.23
0.425,20.66,4535,73.08,2267,2494,67.23
0.425,20.66,4535,73.08,2267,2494,67.23
0.425,20.66,4541,73.08,2270,2497,67.23
0.425,20.66,4535,73.08,2267,2494,67.23
0.425,20.63,4541,73.08,2270,2497,67.23
0.425,20.66,4547,73.08,2273,2500,67.23
0.425,20.66,4547,73.08,2273,2500,67.23
0.425,20.66,4553,73.08,2276,2504,67.23
0.425,20.66,4553,73.08,2276,2504,67.23
0.425,20.63,4553,73.08,2276,2504,67.23
0.425,20.66,4559,73.08,2279,2507,67.23
0.425,20.63,4566,73.08,2283,2511,67.23
0.425,20.63,4573,73.08,2286,2515,67.23
0.425,20.63,4579,73.08,2289,2518,67.23
0.425,20.63,4580,73.08,2290,2519,67.23
0.425,20.63,4580,73.08,2290,2519,67.23
0.425,20.63,4586,73.08,2293,2522,67.23
0.425,20.63,4592,73.36,2296,2525,67.44
0.425,20.63,4598,73.08,2299,2528,67.23
0.425,20.63,4605,73.08,2302,2532,67.23
0.425,20.63,4605,73.36,2302,2532,67.44
0.425,20.63,4598,73.65,2299,2528,67.65
0.425,20.63,4592,73.65,2296,2525,67.65
0.425,20.63,4592,73.65,2296,2525,67.65
0.425,20.63,4592,73.65,2296,2525,67.65
0.425,20.63,4598,73.94,2299,2528,67.86
0.425,20.63,4605,73.94,2302,2532,67.86
0.425,20.61,4605,73.94,2302,2532,67.86
0.425,20.63,4611,73.94,2305,2536,67.86
0.425,20.63,4611,73.94,2305,2536,67.86
0.425,20.63,4617,73.94,2308,2539,67.86
0.425,20.61,4617,74.24,2308,2539,68.07
0.425,20.63,4611,74.24,2305,2536,68.07
0.425,20.63,4623,74.24,2311,2542,68.07
0.425,20.61,4630,74.24,2315,2546,68.07
0.425,20.61,4636,74.24,2318,2549,68.07
0.425,20.61,4643,74.24,2321,2553,68.07
0.425,20.63,4636,74.24,2318,2549,68.07
0.425,20.61,4630,74.24,2315,2546,68.07
0.425,20.61,4636,74.24,2318,2549,68.07
0.425,20.61,4643,74.24,2321,2553,68.07
0.425,20.61,4649,74.24,2324,2556,68.07
0.425,20.61,4656,74.24,2328,2560,68.07
0.425,20.61,4662,74.24,2331,2564,68.07
0.425,20.61,4662,74.24,2331,2564,68.07
0.425,20.61,4669,74.24,2334,2567,68.07
0.425,20.61,4669,74.24,2334,2567,68.07
0.425,20.61,4662,74.24,2331,2564,68.07
0.425,20.61,4669,74.24,2334,2567,68.07
0.425,20.58,4669,74.24,2334,2567,68.07
0.425,20.61,4676,74.24,2338,2571,68.07
0.425,20.61,4682,74.24,2341,2575,68.07
0.425,20.61,4682,74.24,2341,2575,68.07
0.425,19.87,4657,73.08,2328,2561,67.23
0.425,19.95,4674,73.08,2337,2570,67.23
0.425,20,4683,73.08,2341,2575,67.23
0.425,20.11,4696,73.08,2348,2582,67.23
0.425,20.16,4701,73.08,2350,2585,67.23
0.425,20.26,4692,73.08,2346,2580,67.23
0.425,20.29,4698,73.08,2349,2583,67.23
0.425,20.37,4685,73.08,2342,2576,67.23
0.425,20.37,4692,73.08,2346,2580,67.23
0.425,20.4,4695,73.08,2347,2582,67.23
0.425,20.45,4690,73.08,2345,2579,67.23
0.425,20.45,4701,73.08,2350,2585,67.23
0.425,20.48,4698,73.36,2349,2583,67.44
0.425,20.48,4690,73.65,2345,2579,67.65
0.425,20.48,4689,73.36,2344,2578,67.44
0.425,20.48,4688,73.65,2344,2578,67.65
0.425,20.48,4695,73.65,2347,2582,67.65
0.425,20.48,4708,73.65,2354,2589,67.65
0.425,20.48,4708,73.94,2354,2589,67.86
0.425,20.5,4714,73.94,2357,2592,67.86
0.425,20.48,4714,73.94,2357,2592,67.86
0.425,20.5,4707,73.94,2353,2588,67.86
0.425,20.5,4706,73.94,2353,2588,67.86
0.425,20.5,4706,73.94,2353,2588,67.86
0.425,20.5,4706,74.24,2353,2588,68.07
0.425,20.5,4712,74.24,2356,2591,68.07
0.425,20.5,4719,74.24,2359,2595,68.07
0.425,20.5,4719,74.24,2359,2595,68.07
0.425,20.5,4719,74.24,2359,2595,68.07
0.425,20.5,4719,74.24,2359,2595,68.07
0.425,20.5,4712,74.24,2356,2591,68.07
0.425,20.5,4706,74.24,2353,2588,68.07
0.425,20.5,4706,74.24,2353,2588,68.07
0.425,20.5,4706,74.24,2353,2588,68.07
0.425,20.5,4712,74.24,2356,2591,68.07
0.425,20.5,4719,74.54,2359,2595,68.28
0.425,20.16,4579,73.08,2289,2518,67.23
0.425,20.16,4572,71.97,2286,2514,66.4
0.425,20.16,4572,72.25,2286,2514,66.61
0.425,20.19,4572,72.53,2286,2514,66.82
0.425,20.26,4569,72.25,2284,2512,66.61
0.425,20.26,4573,72.25,2286,2515,66.61
0.425,20.26,4570,72.25,2285,2513,66.61
0.425,20.29,4574,72.25,2287,2515,66.61
0.425,20.34,4572,72.25,2286,2514,66.61
0.425,20.34,4570,72.25,2285,2513,66.61
0.425,20.37,4573,72.53,2286,2515,66.82
0.425,20.37,4565,72.53,2282,2510,66.82
0.425,20.37,4576,72.79,2288,2516,67.02
0.425,20.37,4588,72.79,2294,2523,67.02
0.425,20.37,4588,72.79,2294,2523,67.02
0.425,20.37,4594,73.08,2297,2526,67.23
0.425,20.37,4594,73.08,2297,2526,67.23
0.425,20.37,4588,73.08,2294,2523,67.23
0.425,20.37,4594,73.08,2297,2526,67.23
0.425,20.37,4600,73.08,2300,2530,67.23
0.425,20.37,4600,73.08,2300,2530,67.23
0.425,20.37,4606,73.08,2303,2533,67.23
0.425,20.37,4606,73.08,2303,2533,67.23
0.425,20.37,4606,73.08,2303,2533,67.23
0.425,20.37,4606,73.08,2303,2533,67.23
0.425,20.37,4606,73.08,2303,2533,67.23
0.425,20.37,4606,73.08,2303,2533,67.23
0.425,20.37,4606,73.08,2303,2533,67.23
0.425,20.37,4606,73.08,2303,2533,67.23
0.425,20.37,4612,73.08,2306,2536,67.23
0.425,20.37,4618,73.08,2309,2539,67.23
0.425,20.37,4618,73.08,2309,2539,67.23
0.425,20.37,4624,73.08,2312,2543,67.23
0.425,20.37,4624,73.08,2312,2543,67.23
0.425,20.37,4624,73.08,2312,2543,67.23
0.425,20.37,4631,73.08,2315,2547,67.23
0.425,20.37,4631,73.08,2315,2547,67.23
