WC_ratio,TEMP,EC,VWC,TDS,SALINITY,EPSILON
0.55,17.81,5189,76.1,2594,2853,69.35
0.55,17.59,5223,76.1,2611,2872,69.35
0.55,17.45,5269,76.1,2634,2897,69.35
0.55,17.34,5292,76.1,2646,2910,69.35
0.55,17.23,5317,76.1,2658,2924,69.35
0.55,17.15,5346,76.1,2673,2940,69.35
0.55,17.09,5357,76.1,2678,2946,69.35
0.55,17.06,5381,76.41,2690,2959,69.56
0.55,17.01,5396,76.1,2698,2967,69.35
0.55,17.01,5393,76.1,2696,2966,69.35
0.55,16.98,5404,76.1,2702,2972,69.35
0.55,16.95,5408,76.41,2704,2974,69.56
0.55,16.92,5411,76.41,2705,2976,69.56
0.55,16.92,5429,77.09,2714,2985,70
0.55,16.9,5432,76.75,2716,2987,69.78
0.55,16.9,5434,77.09,2717,2988,70
0.55,16.9,5442,77.09,2721,2993,70
0.55,16.9,5443,77.09,2721,2993,70
0.55,16.9,5443,77.09,2721,2993,70
0.55,16.9,5451,77.09,2725,2998,70
0.55,16.9,5451,77.09,2725,2998,70
0.55,16.9,5451,77.09,2725,2998,70
0.55,16.87,5444,77.09,2722,2994,70
0.55,16.87,5437,77.09,2718,2990,70
0.55,16.87,5437,77.09,2718,2990,70
0.55,16.87,5430,77.09,2715,2986,70
0.55,16.84,5439,77.09,2719,2991,70
0.55,16.84,5448,77.09,2724,2996,70
0.55,16.84,5449,77.09,2724,2996,70
0.55,16.81,5459,77.09,2729,3002,70
0.55,16.81,5467,77.09,2733,3006,70
0.55,16.81,5468,77.09,2734,3007,70
0.55,16.81,5477,77.09,2738,3012,70
0.55,16.81,5485,77.09,2742,3016,70
0.55,16.81,5477,77.09,2738,3012,70
0.55,16.81,5485,77.09,2742,3016,70
0.55,16.81,5485,77.09,2742,3016,70
0.55,16.78,5486,77.09,2743,3017,70
0.55,16.81,5486,77.09,2743,3017,70
0.55,16.78,5487,77.09,2743,3017,70
0.55,16.78,5488,77.09,2744,3018,70
0.55,16.78,5488,77.41,2744,3018,70.21
0.55,16.78,5497,77.09,2748,3023,70
0.55,16.78,5497,77.41,2748,3023,70.21
0.55,16.78,5497,77.09,2748,3023,70
0.55,16.78,5497,77.09,2748,3023,70
0.55,16.78,5497,78.1,2748,3023,70.65
0.55,16.78,5497,77.41,2748,3023,70.21
0.55,16.78,5283,78.81,2641,2905,71.09
0.55,16.67,5268,74.24,2634,2897,68.07
0.55,16.64,5269,73.08,2634,2897,67.23
0.55,16.59,5271,73.08,2635,2899,67.23
0.55,16.56,5275,73.08,2637,2901,67.23
0.55,16.56,5278,73.08,2639,2902,67.23
0.55,16.56,5281,73.36,2640,2904,67.44
0.55,16.56,5282,73.65,2641,2905,67.65
0.55,16.56,5282,73.65,2641,2905,67.65
0.55,16.56,5282,73.94,2641,2905,67.86
0.55,16.56,5282,73.94,2641,2905,67.86
0.55,16.56,5282,73.94,2641,2905,67.86
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,73.94,2641,2905,67.86
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.53,5283,74.24,2641,2905,68.07
0.55,16.56,5283,74.24,2641,2905,68.07
0.55,16.56,5283,74.24,2641,2905,68.07
0.55,16.56,5283,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.56,5282,74.24,2641,2905,68.07
0.55,16.53,5283,74.54,2641,2905,68.28
0.55,16.45,5386,77.09,2693,2962,70
0.55,16.48,5423,77.09,2711,2982,70
0.55,16.48,5453,77.09,2726,2999,70
0.55,16.5,5490,77.09,2745,3019,70
0.55,16.53,5526,77.41,2763,3039,70.21
0.55,16.56,5524,77.41,2762,3038,70.21
0.55,16.56,5521,77.75,2760,3036,70.43
0.55,16.56,5519,77.75,2759,3035,70.43
0.55,16.56,5518,78.1,2759,3034,70.65
0.55,16.56,5518,78.1,2759,3034,70.65
0.55,16.56,5526,78.1,2763,3039,70.65
0.55,16.56,5526,78.1,2763,3039,70.65
0.55,18.33,5301,78.45,2650,2915,70.87
0.55,17.92,5298,77.09,2649,2913,70
0.55,17.67,5303,77.09,2651,2916,70
0.55,17.45,5308,77.09,2654,2919,70
0.55,17.29,5325,77.09,2662,2928,70
0.55,17.15,5349,77.09,2674,2941,70
0.55,17.06,5376,77.09,2688,2956,70
0.55,17.01,5405,77.09,2702,2972,70
0.55,16.95,5416,77.09,2708,2978,70
0.55,16.92,5431,77.09,2715,2987,70
0.55,16.9,5437,77.09,2718,2990,70
0.55,16.9,5433,77.09,2716,2988,70
0.55,16.87,5435,77.09,2717,2989,70
0.55,16.84,5430,77.09,2715,2986,70
0.55,16.81,5425,77.09,2712,2983,70
0.55,16.81,5435,77.09,2717,2989,70
0.55,16.78,5454,77.09,2727,2999,70
0.55,16.78,5464,77.09,2732,3005,70
0.55,16.78,5480,77.09,2740,3014,70
0.55,16.78,5489,77.09,2744,3018,70
0.55,16.78,5489,77.09,2744,3018,70
0.55,16.78,5489,77.09,2744,3018,70
0.55,16.78,5481,77.09,2740,3014,70
0.55,16.78,5473,77.09,2736,3010,70
0.55,16.78,5473,77.09,2736,3010,70
0.55,16.78,5466,77.09,2733,3006,70
0.55,16.76,5466,77.09,2733,3006,70
0.55,16.76,5467,77.09,2733,3006,70
0.55,16.76,5460,77.09,2730,3003,70
0.55,16.76,5476,77.09,2738,3011,70
0.55,16.76,5484,77.09,2742,3016,70
0.55,16.73,5477,77.09,2738,3012,70
0.55,16.73,5486,77.09,2743,3017,70
0.55,16.73,5487,77.09,2743,3017,70
0.55,16.73,5473,77.09,2736,3010,70
0.55,16.73,5488,77.09,2744,3018,70
0.55,16.73,5488,77.09,2744,3018,70
0.55,16.73,5488,77.09,2744,3018,70
0.55,16.7,5505,77.09,2752,3027,70
0.55,16.7,5506,77.09,2753,3028,70
0.55,16.7,5507,77.09,2753,3028,70
0.55,16.7,5508,77.09,2754,3029,70
0.55,16.7,5508,77.09,2754,3029,70
0.55,16.7,5508,77.09,2754,3029,70
0.55,16.7,5508,77.09,2754,3029,70
0.55,16.67,5509,77.09,2754,3029,70
0.55,16.7,5509,77.09,2754,3029,70
0.55,16.67,5510,77.09,2755,3030,70
0.55,16.7,5510,77.09,2755,3030,70
0.55,16.67,5510,77.41,2755,3030,70.21
0.55,16.67,5511,77.41,2755,3031,70.21
0.55,16.67,5511,77.41,2755,3031,70.21
0.55,16.7,5511,78.1,2755,3031,70.65
0.55,16.67,5511,78.1,2755,3031,70.65
0.55,16.67,5511,78.1,2755,3031,70.65
0.55,16.67,5511,78.1,2755,3031,70.65
0.55,16.67,5512,78.1,2756,3031,70.65
0.55,16.67,5512,78.1,2756,3031,70.65
0.55,16.67,5512,78.45,2756,3031,70.87
0.55,16.67,5512,78.45,2756,3031,70.87
0.55,16.67,5512,78.1,2756,3031,70.65
0.55,16.67,5512,79.54,2756,3031,71.54
0.55,16.56,5464,77.75,2732,3005,70.43
0.55,16.56,5471,77.41,2735,3009,70.21
0.55,16.5,5481,77.09,2740,3014,70
0.55,16.5,5491,77.41,2745,3020,70.21
0.55,16.5,5508,77.41,2754,3029,70.21
0.55,16.5,5503,77.41,2751,3026,70.21
0.55,16.5,5510,77.75,2755,3030,70.43
0.55,16.48,5511,78.1,2755,3031,70.65
0.55,16.5,5511,78.1,2755,3031,70.65
0.55,16.5,5519,77.75,2759,3035,70.43
0.55,16.5,5519,78.1,2759,3035,70.65
0.55,16.5,5526,78.1,2763,3039,70.65
0.55,16.5,5518,78.1,2759,3034,70.65
0.55,16.5,5526,78.1,2763,3039,70.65
0.55,16.5,5526,78.1,2763,3039,70.65
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5534,78.1,2767,3043,70.65
0.55,16.5,5526,78.1,2763,3039,70.65
0.55,16.5,5526,78.1,2763,3039,70.65
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5518,78.45,2759,3034,70.87
0.55,16.5,5510,78.45,2755,3030,70.87
0.55,16.5,5510,78.1,2755,3030,70.65
0.55,16.5,5518,78.45,2759,3034,70.87
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5534,78.1,2767,3043,70.65
0.55,16.48,5534,78.45,2767,3043,70.87
0.55,16.5,5534,78.45,2767,3043,70.87
0.55,16.5,5527,78.45,2763,3039,70.87
0.55,16.5,5527,78.45,2763,3039,70.87
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5534,78.45,2767,3043,70.87
0.55,16.5,5534,78.45,2767,3043,70.87
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5526,78.45,2763,3039,70.87
0.55,16.5,5510,78.45,2755,3030,70.87
0.55,16.5,5510,78.45,2755,3030,70.87
0.55,16.48,5519,78.45,2759,3035,70.87
0.55,16.5,5519,78.45,2759,3035,70.87
0.55,16.5,5534,78.45,2767,3043,70.87
0.55,16.5,5534,78.45,2767,3043,70.87
0.55,16.5,5534,78.45,2767,3043,70.87
0.55,16.5,5534,78.45,2767,3043,70.87
0.55,16.5,5534,78.45,2767,3043,70.87
0.55,16.5,5534,78.45,2767,3043,70.87
0.55,16.5,5534,79.17,2767,3043,71.31
0.55,16.45,5355,77.75,2677,2945,70.43
0.55,16.45,5347,77.09,2673,2940,70
0.55,16.45,5355,77.09,2677,2945,70
0.55,16.45,5363,77.09,2681,2949,70
0.55,16.45,5370,77.09,2685,2953,70
0.55,16.45,5386,77.41,2693,2962,70.21
0.55,16.45,5386,77.41,2693,2962,70.21
0.55,16.45,5386,77.75,2693,2962,70.43
0.55,16.45,5393,78.1,2696,2966,70.65
0.55,16.45,5401,78.1,2700,2970,70.65
0.55,16.45,5409,78.1,2704,2974,70.65
0.55,16.45,5417,78.1,2708,2979,70.65
0.55,16.45,5409,78.45,2704,2974,70.87
0.55,16.45,5416,78.45,2708,2978,70.87
0.55,16.45,5416,78.45,2708,2978,70.87
0.55,16.45,5424,78.45,2712,2983,70.87
0.55,16.45,5439,78.45,2719,2991,70.87
0.55,16.45,5424,78.45,2712,2983,70.87
0.55,16.45,5431,78.45,2715,2987,70.87
0.55,16.45,5431,78.45,2715,2987,70.87
0.55,16.45,5431,78.45,2715,2987,70.87
0.55,16.45,5439,78.45,2719,2991,70.87
0.55,16.45,5447,78.45,2723,2995,70.87
0.55,16.45,5455,78.45,2727,3000,70.87
0.55,16.45,5447,78.45,2723,2995,70.87
0.55,16.48,5454,78.45,2727,2999,70.87
0.55,16.45,5454,78.45,2727,2999,70.87
0.55,16.45,5446,78.45,2723,2995,70.87
0.55,16.48,5468,78.45,2734,3007,70.87
0.55,16.48,5484,78.45,2742,3016,70.87
0.55,16.45,5484,78.45,2742,3016,70.87
0.55,16.45,5484,78.45,2742,3016,70.87
0.55,16.45,5477,78.45,2738,3012,70.87
0.55,16.48,5461,78.45,2730,3003,70.87
0.55,16.48,5468,78.45,2734,3007,70.87
0.55,16.45,5484,78.45,2742,3016,70.87
0.55,16.48,5491,78.45,2745,3020,70.87
0.55,16.45,5508,78.45,2754,3029,70.87
0.55,16.48,5508,78.45,2754,3029,70.87
0.55,16.45,5508,78.45,2754,3029,70.87
0.55,16.45,5493,78.81,2746,3021,71.09
